task,arm,family,perturb,level,secs,auc,bacc,acc,mae,rmse,r
T2_brainage,trivial,tabular,mcar,0.3,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,mcar,0.3,0.0,,,,7.960787769284534,10.217070747374969,0.5025717139921545
T2_brainage,xgboost,tabular,mcar,0.3,0.8,,,,12.024007035482779,16.30222749845708,0.34419421553814467
T2_brainage,tabpfn,tabular,mcar,0.3,6.2,,,,7.181770029451825,9.546098558586058,0.5714690790128337
T2_brainage,trivial,tabular,mcar,0.5,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,mcar,0.5,0.0,,,,8.358223922805047,10.909072012292498,0.39721596816966476
T2_brainage,xgboost,tabular,mcar,0.5,0.7,,,,14.227253680627781,18.468850404791635,0.25581535974693
T2_brainage,tabpfn,tabular,mcar,0.5,5.9,,,,8.014458045132757,10.524299288779904,0.4449182909334216
T2_brainage,trivial,tabular,noise,0.25,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,noise,0.25,0.0,,,,6.737394415123016,8.45462895118884,0.6892126564063646
T2_brainage,xgboost,tabular,noise,0.25,0.7,,,,6.536499058868125,8.105263035109848,0.7259895146315688
T2_brainage,tabpfn,tabular,noise,0.25,5.9,,,,6.051728310599785,7.594000658593068,0.7584759791146438
T2_brainage,trivial,tabular,noise,0.5,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,noise,0.5,0.0,,,,7.405211161422902,9.511314690249055,0.6248819528107604
T2_brainage,xgboost,tabular,noise,0.5,0.7,,,,7.293286243828457,9.185724459760506,0.6430621310271302
T2_brainage,tabpfn,tabular,noise,0.5,6.0,,,,6.675426365052214,8.483221965653515,0.6965921480806131
T2_brainage,trivial,tabular,noise,1.0,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,noise,1.0,0.0,,,,10.720699750500147,13.362253673434704,0.4910424581478355
T2_brainage,xgboost,tabular,noise,1.0,0.8,,,,9.52585261672643,12.262806353707301,0.46022657921509946
T2_brainage,tabpfn,tabular,noise,1.0,6.0,,,,8.827573286121474,11.315531492820277,0.5441181909558127
